# Figure 4 data: routing-specific monthly fee modelled from published Google Cloud list prices.
# Modelled, not measured: N-Dynamic = ceil(n/8) x $54.75 NCC spoke; N-Cloud = flat $73.00 GKE fee; N-Static = $0.
figure,config,nodes,fee,unit
4,N-Dynamic,53,383.25,USD/month
4,N-Cloud,53,73.0,USD/month
4,N-Static,53,0.0,USD/month
4,N-Dynamic,54,383.25,USD/month
4,N-Cloud,54,73.0,USD/month
4,N-Static,54,0.0,USD/month
4,N-Dynamic,55,383.25,USD/month
4,N-Cloud,55,73.0,USD/month
4,N-Static,55,0.0,USD/month
4,N-Dynamic,56,383.25,USD/month
4,N-Cloud,56,73.0,USD/month
4,N-Static,56,0.0,USD/month
4,N-Dynamic,57,438.0,USD/month
4,N-Cloud,57,73.0,USD/month
4,N-Static,57,0.0,USD/month
4,N-Dynamic,58,438.0,USD/month
4,N-Cloud,58,73.0,USD/month
4,N-Static,58,0.0,USD/month
4,N-Dynamic,59,438.0,USD/month
4,N-Cloud,59,73.0,USD/month
4,N-Static,59,0.0,USD/month
4,N-Dynamic,60,438.0,USD/month
4,N-Cloud,60,73.0,USD/month
4,N-Static,60,0.0,USD/month
4,N-Dynamic,61,438.0,USD/month
4,N-Cloud,61,73.0,USD/month
4,N-Static,61,0.0,USD/month
4,N-Dynamic,62,438.0,USD/month
4,N-Cloud,62,73.0,USD/month
4,N-Static,62,0.0,USD/month
4,N-Dynamic,63,438.0,USD/month
4,N-Cloud,63,73.0,USD/month
4,N-Static,63,0.0,USD/month
4,N-Dynamic,64,438.0,USD/month
4,N-Cloud,64,73.0,USD/month
4,N-Static,64,0.0,USD/month
4,N-Dynamic,65,492.75,USD/month
4,N-Cloud,65,73.0,USD/month
4,N-Static,65,0.0,USD/month
4,N-Dynamic,66,492.75,USD/month
4,N-Cloud,66,73.0,USD/month
4,N-Static,66,0.0,USD/month
4,N-Dynamic,67,492.75,USD/month
4,N-Cloud,67,73.0,USD/month
4,N-Static,67,0.0,USD/month
4,N-Dynamic,68,492.75,USD/month
4,N-Cloud,68,73.0,USD/month
4,N-Static,68,0.0,USD/month
4,N-Dynamic,69,492.75,USD/month
4,N-Cloud,69,73.0,USD/month
4,N-Static,69,0.0,USD/month
4,N-Dynamic,70,492.75,USD/month
4,N-Cloud,70,73.0,USD/month
4,N-Static,70,0.0,USD/month
4,N-Dynamic,71,492.75,USD/month
