"# NARA Fig. 2 raw data: monthly managed-service cost vs cluster size (list prices, accessed 2026-07-04)"
"# N-Dynamic = ceil(n/K) * $54.75/mo per NCC router-appliance spoke (K=1, $0.075/h); N-Cloud = flat $73.00/mo GKE fee ($0.10/h); N-Static = $0 managed cost"
"# crossover n* = 73.00/54.75 = 1.33 nodes; route-quota cliff at n = 250 (N-Static/N-Dynamic infeasible beyond, single-region)"
# paper figure uses log-log axes; N-Static plotted at y=1 for log-scale visibility (true value 0)
nodes,N-Dynamic_USD_per_month,N-Cloud_USD_per_month,N-Static_USD_per_month
195,10676.25,73.0,0.0
196,10731.0,73.0,0.0
197,10785.75,73.0,0.0
198,10840.5,73.0,0.0
199,10895.25,73.0,0.0
200,10950.0,73.0,0.0
201,11004.75,73.0,0.0
202,11059.5,73.0,0.0
203,11114.25,73.0,0.0
204,11169.0,73.0,0.0
205,11223.75,73.0,0.0
206,11278.5,73.0,0.0
207,11333.25,73.0,0.0
208,11388.0,73.0,0.0
209,11442.75,73.0,0.0
210,11497.5,73.0,0.0
211,11552.25,73.0,0.0
212,11607.0,73.0,0.0
213,11661.75,73.0,0.0
214,11716.5,73.0,0.0
215,11771.25,73.0,0.0
216,11826.0,73.0,0.0
217,11880.75,73.0,0.0
218,11935.5,73.0,0.0
219,11990.25,73.0,0.0
220,12045.0,73.0,0.0
221,12099.75,73.0,0.0
222,12154.5,73.0,0.0
223,12209.25,73.0,0.0
224,12264.0,73.0,0.0
225,12318.75,73.0,0.0
226,12373.5,73.0,0.0
227,12428.25,73.0,0.0
228,12483.0,73.0,0.0
229,12537.75,73.0,0.0
230,12592.5,73.0,0.0
231,12647.25,73.0,0.0
232,12702.0,73.0,0.0
233,12756.75,73.0,0.0
234,12811.5,73.0,0.0
235,12866.25,73.0,0.0
236,12921.0,73.0,0.0
237,12975.75,73.0,0.0
238,13030.5,73.0,0.0
239,13085.25,73.0,0.0
240,13140.0,73.0,0.0
241,13194.75,73.0,0.0
242,13249.5,73.0,0.0
243,13304.25,73.0,0.0
244,13359.0,73.0,0.0
245,13413.75,73.0,0.0
246,13468.5,73.0,0.0
247,13523.25,73.0,0.0
248,13578.0,73.0,0.0
249,13632.75,73.0,0.0
250,13687.5,73.0,0.0
251,13742.25,73.0,0.0
252,13797.0,73.0,0.0
253,13851.75,73.0,0.0
254,13906.5,73.0,0.0
255,13961.25,73.0,0.0
256,14016.0,73.0,0.0
257,14070.75,73.0,0.0
258,14125.5,73.0,0.0
259,14180.25,73.0,0.0
260,14235.0,73.0,0.0
261,14289.75,73.0,0.0
262,14344.5,73.0,0.0
263,14399.25,73.0,0.0
264,14454.0,73.0,0.0
265,14508.75,73.0,0.0
266,14563.5,73.0,0.0
267,14618.25,73.0,0.0
268,14673.0,73.0,0.0
269,14727.75,73.0,0.0
270,14782.5,73.0,0.0
271,14837.25,73.0,0.0
272,14892.0,73.0,0.0
273,14946.75,73.0,0.0
274,15001.5,73.0,0.0
275,15056.25,73.0,0.0
276,15111.0,73.0,0.0
277,15165.75,73.0,0.0
278,15220.5,73.0,0.0
279,15275.25,73.0,0.0
280,15330.0,73.0,0.0
281,15384.75,73.0,0.0
282,15439.5,73.0,0.0
283,15494.25,73.0,0.0
284,15549.0,73.0,0.0
285,15603.75,73.0,0.0
286,15658.5,73.0,0.0
287,15713.25,73.0,0.0
288,15768.0,73.0,0.0
289,15822.75,73.0,0.0
290,15877.5,73.0,0.0
291,15932.25,73.0,0.0
292,15987.0,73.0,0.0
293,16041.75,73.0,0.0
294,16096.5,73.0,0.0
295,16151.25,73.0,0.0
296,16206.0,73.0,0.0
297,16260.75,73.0,0.0
298,16315.5,73.0,0.0
299,16370.25,73.0,0.0
300,16425.0,73.0,0.0
301,16479.75,73.0,0.0
302,16534.5,73.0,0.0
303,16589.25,73.0,0.0
304,16644.0,73.0,0.0
305,16698.75,73.0,0.0
306,16753.5,73.0,0.0
307,16808.25,73.0,0.0
308,16863.0,73.0,0.0
309,16917.75,73.0,0.0
310,16972.5,73.0,0.0
311,17027.25,73.0,0.0
312,17082.0,73.0,0.0
313,17136.75,73.0,0.0
314,17191.5,73.0,0.0
315,17246.25,73.0,0.0
316,17301.0,73.0,0.0
317,17355.75,73.0,0.0
318,17410.5,73.0,0.0
319,17465.25,73.0,0.0
320,17520.0,73.0,0.0
321,17574.75,73.0,0.0
322,17629.5,73.0,0.0
323,17684.25,73.0,0.0
324,17739.0,73.0,0.0
325,17793.75,73.0,0.0
326,17848.5,73.0,0.0
327,17903.25,73.0,0.0
328,17958.0,73.0,0.0
329,18012.75,73.0,0.0
330,18067.5,73.0,0.0
331,18122.25,73.0,0.0
332,18177.0,73.0,0.0
333,18231.75,73.0,0.0
